ObjectID,GlobalID,Date,Location,Unlisted Location,Monitor Name,Vernal Pool Name or ID number,Optional - Water Level (in.),DO (mg/L),DO (% sat.),Conductivity (µS/cm),Salinity (ppt),Temp (C),Water Quality Notes,Optional - Comments,CreationDate,Creator,EditDate,Editor,x,y,atmospheric_pressure_mmHg,ph
,,4/15/19,manzanita_village,,,Santa Catalina,,7,80,0.0603,0,21.6,,re-entered from invert dataset; surveyed at 11:30:00 AM,,,,,,,759.1,6.9
,,5/1/19,ncos,,,2,,8,103,0.0007,0,28.3,,re-entered from invert dataset; surveyed at 14:45,,,,,,,759.5,7.8
,,5/1/19,ncos,,,4,,8,103,0.0007,0,28.3,,re-entered from invert dataset; surveyed at 14:45,,,,,,,759.5,7.8
,,5/1/19,south_parcel,,,11,,9.5,127,0.72,0.3,30.5,,re-entered from invert dataset; surveyed a t4:00:00 PM,,,,,,,757.4,7.8
,,5/1/19,south_parcel,,,12,,9.5,127,0.72,0.3,30.5,,re-entered from invert dataset; surveyed at 4:00:00 PM,,,,,,,757.4,7.8
,,5/1/19,ncos,,,4,,15.76,183,0.204,0.1,22.7,,re-entered from invert dataset; surveyed at 13:30,,,,,,,760.5,9.2
,,5/1/19,ncos,,,5,,15.76,183,0.204,0.1,22.7,,re-entered from invert dataset; surveyed at 13:30,,,,,,,760.5,9.2
,,5/1/19,ncos,,,6,,15.76,183,0.204,0.1,22.7,, re-entered from invert dataset; surveyed at13:30,,,,,,,760.5,9.2
,,5/3/19,copr,,,Ferren's Folly,,7.1,79,0.198,0.1,20.4,,re-entered from invert dataset; surveyed at 11:35:00 AM,,,,,,,759.6,6.8
,,5/3/19,copr,,,Ferren's Folly,,7.1,79,0.198,0.1,20.4,,re-entered from invert dataset; surveyed at 11:35:00 AM,,,,,,,759.6,6.8
